Number	Reference	Size	Mode	LowAlt	HighAlt	DiffAlt	BVO2	BVO2SD	AVO2	AVO2SD	Altitude	Swithin	ES	d	Vd_Independent	Vd_Corr	J	G	Vg_Independent	Vg_Corr
30	"Squires, 1982"	12	treadmill	362	914	552	60.4	5.1	58.57	4.751854067	0.9	4.929001779	-1.83	-0.371271929	0.169538393	0.044538393	0.930232558	-0.345369236	0.1467071	0.038540524
20	"Stenberg, 1966"	6	cycle	0	4000	4000	52.99	6.584992343	38.28	4.287901991	4	5.55644795	-14.71	-2.64737475	0.625358044	0.375358044	0.842105263	-2.229368211	0.443467201	0.266181882
68	"Subudhi, 2006 (REMOVE BECAUSE OF ANTIOXIDANT USE?)"	16	cycle	15	4300	4285	56	7.712082262	40.3		4.3	5.453265665	-15.7	-2.87900883	0.25451081	0.16076081	0.949152542	-2.732618551	0.229286383	0.144827894
9	"Terrados, 1985"	8	cycle	0	900	900	71.8	4.9	66.8	5.822416303	0.9	5.381009738	-5	-0.929193635	0.276981275	0.089481275	0.888888889	-0.825949898	0.218849403	0.070701255
9	"Terrados, 1985"	8	cycle	0	900	900	48.7	7.6	47.6	7.335907336	0.9	7.46912098	-1.1	-0.14727302	0.250677792	0.063177792	0.888888889	-0.130909351	0.198066404	0.049918255
10	"Wagner, 1979"	6	cycle	0	2130	2130	45.92	7.054530459	41.3	7.054530459	2.1	7.054530459	-4.62	-0.654898299	0.351203824	0.101203824	0.842105263	-0.551493304	0.249053127	0.071767809
2	"Wehrlin, 2006"	8	treadmill	300	2800	2500	66.1	4.3	55.4	3.6	2.8	3.965476012	-10.7	-2.698288924	0.477523847	0.290023847	0.888888889	-2.398479044	0.377302793	0.229154645
29	"Woorons, 2005"	7	cycle	0	1000	1000	56.3	4.7	54.4	5.2	1	4.956309111	-1.9	-0.383349779	0.290962752	0.076677038	0.869565217	-0.333347634	0.220009642	0.057978856
29	"Woorons, 2005"	7	cycle	0	1000	1000	34.8	5.6	33.1	5.5	1	5.550225221	-1.7	-0.306293877	0.289064855	0.074779141	0.869565217	-0.266342502	0.21857456	0.056543774
53	"Young, 1982"	8	cycle	50	4300	4250	44.9	4.120887202	32.8	1.324503311	4.3	3.060720532	-12.1	-3.953317486	0.738397473	0.550897473	0.888888889	-3.514059988	0.583425164	0.435277016
82	"Masschelein, 2014"	20	cycle	0	5160	5160	54.7	8.1	33.2	9	5.2	8.561833916	-21.5	-2.511144249	0.178823068	0.103823068	0.96	-2.410698479	0.164803339	0.095683339
83	"Noordhof, 2013"	16	Cycle	0	1500	1500	63.8	5.2	59	6.2	1.5	5.7218878	-4.8	-0.838883978	0.135995724	0.042245724	0.949152542	-0.796228861	0.122517262	0.038058773
84	"Esposito, 2010"	9	Cycle	40	5000	4960	51.5	8.7	38.8	5.4	5	7.240511032	-12.7	-1.75401984	0.307682933	0.141016267	0.903225806	-1.584275984	0.251012924	0.115043447
85	"Roels, 2007"	8	Cycle	0	3000	3000	58.1	2.3	47.6	2.3	3	2.3	-10.5	-4.565217391	0.901287807	0.713787807	0.888888889	-4.057971014	0.712128638	0.56398049
85	"Roels, 2007"	10	Cycle	0	3000	3000	58.5	2.2	48.3	3	3	2.630589288	-10.2	-3.877458198	0.575867052	0.425867052	0.914285714	-3.545104639	0.481377846	0.355990091
86	"Puype, 2013"	9	cycle	0	3000	3000	54.8	6.9	48.7	5.7	3	6.328506933	-6.1	-0.963892442	0.24803024	0.081363573	0.903225806	-0.870612528	0.202347251	0.066377775
86	"Puype, 2013"	10	cycle	0	3000	3000	56.8	9.5	50.9	8.9	3	9.204890005	-5.9	-0.640963661	0.21027086	0.06027086	0.914285714	-0.586023919	0.175769274	0.050381519
86	"Puype, 2013"	10	cycle	0	3000	3000	55.1	5.4	48.5	5.1	3	5.25214242	-6.6	-1.256630052	0.239477977	0.089477977	0.914285714	-1.148918904	0.20018404	0.074796285
